"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","Sun Jun 08 01:29:44 UTC 2025","skipped","Sun Jun 08 01:29:44 UTC 2025","","test_architecture","",""
"Build the charm and deploy 3 units to ensure a cluster is formed.","134582","test_build_and_deploy","tests.integration","Sun Jun 08 01:29:03 UTC 2025","passed","Sun Jun 08 01:31:17 UTC 2025","","test_tls","",""
"Simple test to ensure that the mysql and application charms get deployed.","216745","test_deploy_latest","tests.integration.high_availability","Sun Jun 08 01:28:41 UTC 2025","passed","Sun Jun 08 01:32:18 UTC 2025","","test_upgrade","",""
"Relate charms and wait for the expected changes in status.","0","test_relation_creation_databag","tests.integration.relations","Sun Jun 08 01:31:17 UTC 2025","skipped","Sun Jun 08 01:31:17 UTC 2025","","test_database","",""
"Build the charm and deploy 1 units to ensure a cluster is formed.","7005","test_build_and_deploy","tests.integration","Sun Jun 08 01:28:36 UTC 2025","passed","Sun Jun 08 01:28:43 UTC 2025","","test_saturate_max_connections","",""
"Relate all the applications to the database.","145327","test_relate_all","tests.integration","Sun Jun 08 01:29:48 UTC 2025","passed","Sun Jun 08 01:32:14 UTC 2025","","test_multi_relations","",""
"Test to kill the primary under load and ensure re-election of primary.","276103","test_kill_primary_check_reelection","tests.integration.high_availability","Sun Jun 08 01:32:33 UTC 2025","passed","Sun Jun 08 01:37:09 UTC 2025","","test_replication_reelection","",""
"Test the labeling of k8s endpoints when apps with same cluster-name deployed.","400222","test_labeling_of_k8s_endpoints","tests.integration.high_availability","Sun Jun 08 01:29:04 UTC 2025","passed","Sun Jun 08 01:35:44 UTC 2025","","test_k8s_endpoints","",""
"Scale database and routers.","215336","test_scale_in","tests.integration","Sun Jun 08 01:39:59 UTC 2025","passed","Sun Jun 08 01:43:34 UTC 2025","","test_multi_relations","",""
"Test to restore a backup on a new mysql cluster.","541793","test_restore_on_new_cluster","tests.integration","Sun Jun 08 01:35:17 UTC 2025","passed","Sun Jun 08 01:44:19 UTC 2025","","test_backup_ceph","",""
"Simple test to ensure that the mysql charm gets deployed.","111717","test_build_and_deploy","tests.integration","Sun Jun 08 01:29:41 UTC 2025","passed","Sun Jun 08 01:31:33 UTC 2025","","test_backup_ceph","",""
"Relate the two mysql clusters.","4406","test_async_relate","tests.integration.high_availability","Sun Jun 08 01:31:27 UTC 2025","passed","Sun Jun 08 01:31:32 UTC 2025","","test_async_replication","",""
"Confirm that data is replicated from the primary node to all the replicas.","4358","test_consistent_data_replication_across_cluster","tests.integration","Sun Jun 08 01:31:19 UTC 2025","passed","Sun Jun 08 01:31:24 UTC 2025","","test_charm","",""
"Pitr tests.","216561","test_pitr_aws","tests.integration","Sun Jun 08 01:32:50 UTC 2025","passed","Sun Jun 08 01:36:26 UTC 2025","","test_backup_pitr_gcp","",""
"Confirm that a new primary is elected when the current primary is torn down.","294648","test_scale_up_and_down","tests.integration","Sun Jun 08 01:31:24 UTC 2025","passed","Sun Jun 08 01:36:18 UTC 2025","","test_charm","",""
"Test that the pre-upgrade-check action runs successfully.","17645","test_pre_upgrade_check","tests.integration.high_availability","Sun Jun 08 01:32:19 UTC 2025","passed","Sun Jun 08 01:32:37 UTC 2025","","test_upgrade_from_stable","",""
"Build the charm and deploy 3 units to ensure a cluster is formed.","149547","test_build_and_deploy","tests.integration.relations","Sun Jun 08 01:28:47 UTC 2025","passed","Sun Jun 08 01:31:17 UTC 2025","","test_database","",""
"","62409","test_deploy_and_relate_test_app","tests.integration","Sun Jun 08 01:28:43 UTC 2025","passed","Sun Jun 08 01:29:46 UTC 2025","","test_saturate_max_connections","",""
